name,score,Native,Romaji,English,Hashtag,Season,Favorites,Popularity,Genres,Tags,Status Distribution,Prequel,Sequel,addictive,indecisive,forgettable,NoLoved,excelent,loved,choosed,Violence,Cliche,Action,Adventure,Comedy,Ecchi,Harem,Drama,Mystery,Romance,Fantasy,Mahou Shoujo,Magic,Horror,Sci-Fi,Mecha,Supernatural,Historical,Military,Politics,Isekai,Slice of Life,School life,Sports,Arts,Cute,Music,idol,Psychological,Spokon,Protagonist,Female Protagonist,Male Protagonist,Ensemble Cast,Shounen,Shoujo,Seinen,Josei,Worldbuilding,Iyashikei
Akebi-chan no Sailor Fuku,75,明日ちゃんのセーラー服,Akebi-chan no Sailor Fuku,Akebi’s Sailor Uniform,#明日ちゃん,Winter 2022,1100,40123,Slice of Life,"Female Protagonist, 93%, Cute Girls Doing Cute Things, 89%, Primarily Female Cast, 87%, School, 86%, Rural, 81%, Coming of Age, 76%, Primarily Teen Cast, 72%, Family Life, 72%, Feet, 72%, Episodic, 70%, Ensemble Cast, 65%, Slapstick, 56%, Iyashikei, 50%, School Club, 50%, Tennis, 43%, Cheerleading, 40%, Swimming, 37%, Tomboy, 36%, Volleyball, 35%, Fishing, 30%, Seinen, 10%","['Completed', '15463', 'Users', 'Planning', '15342', 'Users', 'Current', '4803', 'Users', 'Dropped', '2853', 'Users']",False,False,5.42,0.99,0.18,2735.66,82500,2.06,4.07,,0.23,,,0.36,,,0.49,,,,,,,,,,,,,,4.76,0.55,0.93,,1.25,,,,0.32,1.01,0.59,,0.42,,,0.06,,,0.32
Koroshi Ai,67,殺し愛,Koroshi Ai,Love of Kill,#殺し愛,Winter 2022,546,36162,"Action, Psychological, Romance","Assassins, 92%, Primarily Adult Cast, 80%, Urban, 77%, Female Protagonist, 76%, Josei, 76%, Ships, 73%, Guns, 72%, Male Protagonist, 65%, Yandere, 60%, Crime, 60%, Police, 50%, Foreign, 33%, Show 5 spoiler tags","['Planning', '14520', 'Users', 'Completed', '12843', 'Users', 'Current', '4364', 'Users', 'Dropped', '3128', 'Users']",False,False,4.11,1.13,0.24,4437.46,36582,1.01,2.13,,0.16,1.75,0.2,,,,,,1.36,,,,,,,,,0.45,0.44,,,,,,,,,1.36,,0.29,0.21,0.18,,,,,0.21,,
Karakai Jouzu no Takagi-san 3,83,からかい上手の高木さん３,Karakai Jouzu no Takagi-san 3,Teasing Master Takagi-san Season 3,#高木さんめ,Winter 2022,1161,32174,"Comedy, Romance, Slice of Life","Episodic, 97%, Primarily Child Cast, 93%, School, 88%, Heterosexual, 87%, Slapstick, 58%, Rural, 40%, Fishing, 40%, Shounen, 25%, Show 2 spoiler tags","['Completed', '15338', 'Users', 'Planning', '11999', 'Users', 'Current', '3444', 'Users', 'Paused', '904', 'Users']",True,True,0.0,0.78,0.0,2300.12,96363,3.0,5.13,,,,,6.37,,,,,6.97,,,,,,,,,,,,5.17,0.91,0.41,,,,,,,,,,,0.26,,,,,
Fantasy Bishoujo Juniku Oji-san to,70,異世界美少女受肉おじさんと,Fantasy Bishoujo Juniku Oji-san to,Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout,nan,Winter 2022,610,31875,"Adventure, Comedy, Fantasy, Romance","Gender Bending, 97%, Isekai, 96%, Slapstick, 88%, Primarily Adult Cast, 85%, LGBTQ+ Themes, 79%, Parody, 79%, Gods, 76%, Magic, 75%, Shounen, 73%, ""Boys Love"", 63%, Mythology, 60%, Meta, 56%, Elf, 54%, Heterosexual, 50%, Travel, 33%, Satire, 20%, Show 2 spoiler tags","['Completed', '15222', 'Users', 'Planning', '9195', 'Users', 'Current', '4329', 'Users', 'Dropped', '2075', 'Users']",False,False,7.34,0.6,0.14,3657.79,42700,1.34,2.18,,,,2.17,3.35,,,,,2.52,3.15,,0.29,,,,,,,,0.37,,,,,,,,,,,,,,0.28,,,,,
Leadale no Daichi nite,68,リアデイルの大地にて,Leadale no Daichi nite,In the Land of Leadale,#leadale,Winter 2022,699,30318,"Adventure, Fantasy","Isekai, 93%, Female Protagonist, 90%, Virtual World, 87%, Video Games, 86%, Iyashikei, 83%, Magic, 80%, Super Power, 80%, Elf, 71%, Primarily Female Cast, 68%, Cute Girls Doing Cute Things, 61%, Travel, 60%, Gender Bending, 20%, Show 3 spoiler tags","['Completed', '17058', 'Users', 'Planning', '7493', 'Users', 'Current', '3287', 'Users', 'Dropped', '1856', 'Users']",False,False,9.19,0.44,0.11,2949.39,47532,1.57,2.34,,,0.34,2.67,,,,,,,3.45,,0.34,,,,0.34,,,,0.4,0.36,,,,0.56,,,,,0.39,0.39,,,,,,,,0.36
Princess Connect! Re:Dive Season 2,77,プリンセスコネクト！Re:Dive Season 2,Princess Connect! Re:Dive Season 2,Princess Connect! Re:Dive Season 2,#アニメプリコネ #プリコネR,Winter 2022,703,26733,"Action, Adventure, Comedy, Fantasy","Primarily Female Cast, 99%, Food, 86%, Magic, 84%, Cute Girls Doing Cute Things, 82%, Amnesia, 80%, Nekomimi, 74%, Kemonomimi, 72%, Ensemble Cast, 68%, Male Protagonist, 60%, Isekai, 60%, CGI, 56%, Tsundere, 52%, Elf, 50%, Gender Bending, 16%, Show 4 spoiler tags","['Planning', '11574', 'Users', 'Completed', '10557', 'Users', 'Current', '2987', 'Users', 'Paused', '884', 'Users']",True,False,0.0,1.1,0.0,2928.08,54131,2.02,4.0,,0.8,3.24,3.24,3.24,,,,0.52,,5.62,,0.54,,,,,,,,0.39,,,,,1.41,,,,,0.83,,0.39,0.44,,,,,,
ORIENT,62,オリエント,ORIENT,ORIENT,#オリエント,Winter 2022,351,25080,"Action, Adventure, Comedy, Fantasy","Kaiju, 95%, Samurai, 93%, Swordplay, 82%, Shounen, 82%, Historical, 82%, Magic, 79%, Male Protagonist, 79%, Demons, 76%, Slavery, 60%, Ninja, 40%, Gore, 40%, Nudity, 33%, Agriculture, 30%, Slapstick, 20%, Show 2 spoiler tags","['Planning', '8948', 'Users', 'Completed', '8847', 'Users', 'Dropped', '3427', 'Users', 'Current', '3008', 'Users']",False,True,2.58,1.01,0.39,4430.09,21762,0.87,1.84,0.08,,1.53,1.03,1.11,0.07,,,,,2.0,,0.16,,,,0.16,0.17,,0.12,,0.06,,,,,,,,,0.16,,0.16,,0.17,,,,,
Kenja no Deshi wo Nanoru Kenja,59,賢者の弟子を名乗る賢者,Kenja no Deshi wo Nanoru Kenja,She Professed Herself Pupil of the Wise Man,#賢でし,Winter 2022,383,23129,"Adventure, Fantasy","Isekai, 93%, Gender Bending, 86%, Female Protagonist, 85%, Magic, 80%, Virtual World, 80%, CGI, 77%, Dungeon, 28%","['Completed', '9903', 'Users', 'Planning', '7123', 'Users', 'Current', '2849', 'Users', 'Dropped', '2689', 'Users']",False,False,3.68,0.72,0.27,3562.95,22597,0.98,1.77,,,,1.05,,,,,,,1.38,,0.17,,,,,,,,0.2,,,,,,,,,,0.18,0.18,,,,,,,,
Slow Loop,71,スローループ,Slow Loop,Slow Loop,#slowloop,Winter 2022,248,17456,"Slice of Life, Sports","Fishing, 94%, Cute Girls Doing Cute Things, 93%, Female Protagonist, 92%, Family Life, 90%, Iyashikei, 89%, Outdoor, 77%, Primarily Female Cast, 72%, Food, 71%, Educational, 66%, Seinen, 49%, Episodic, 43%, Chibi, 40%, Tanned Skin, 37%, Twins, 33%, School, 26%, Show 1 spoiler tags","['Planning', '6888', 'Users', 'Completed', '6458', 'Users', 'Current', '2117', 'Users', 'Dropped', '1219', 'Users']",False,False,5.3,1.07,0.19,4997.48,17608,1.01,2.05,,,,,,,,,,,,,,,,,,,,,,2.52,0.08,2.02,,0.6,,,,,0.27,0.27,,,,,0.14,,,0.26
Ryman's Club,73,リーマンズクラブ,"""Rymans Club""","""Salarymans Club""",#リーマンズクラブ,Winter 2022,294,17362,Sports,"Badminton, 97%, Work, 91%, Primarily Male Cast, 90%, Primarily Adult Cast, 83%, Male Protagonist, 82%, Show 1 spoiler tags","['Completed', '6683', 'Users', 'Planning', '6648', 'Users', 'Current', '2324', 'Users', 'Dropped', '959', 'Users']",False,False,6.97,0.99,0.14,4310.97,21462,1.24,2.38,,,,,,,,,,,,,,,,,,,,,,0.34,,2.59,,,,,,,0.31,,0.31,,,,,,,
Tokyo 24-ku,61,東京24区,Tokyo 24-ku,Tokyo 24th Ward,#東京24区,Winter 2022,151,16409,"Mystery, Sci-Fi","Urban, 97%, Super Power, 82%, Ensemble Cast, 60%, Primarily Male Cast, 60%, Chuunibyou, 53%, Dystopian, 50%, Primarily Adult Cast, 48%, Philosophy, 35%, Politics, 33%, Show 4 spoiler tags","['Planning', '6819', 'Users', 'Completed', '4716', 'Users', 'Current', '2112', 'Users', 'Dropped', '2063', 'Users']",False,False,2.29,1.45,0.44,6628.8,9211,0.56,1.35,,0.07,0.11,,,,,0.06,0.64,,,,,,0.64,,0.11,,,0.28,,,,,,,,,0.07,,0.08,,,0.08,,,,,0.06,
Baraou no Souretsu,55,薔薇王の葬列,Baraou no Souretsu,Requiem of the Rose King,#薔薇王の葬列,Winter 2022,178,15094,"Action, Drama, Supernatural","Historical, 100%, Classic Literature, 93%, Politics, 90%, LGBTQ+ Themes, 77%, Foreign, 76%, Shoujo, 71%, Swordplay, 60%, Anti-Hero, 55%, Primarily Adult Cast, 46%, Show 10 spoiler tags","['Planning', '8111', 'Users', 'Dropped', '2727', 'Users', 'Current', '1789', 'Users', 'Completed', '1753', 'Users']",False,False,0.64,4.63,1.56,4663.88,9790,0.65,2.76,,,0.73,,,,,0.59,,,0.07,,,,,,0.59,0.12,,0.11,,,,,0.11,,,,0.11,,,,,,,0.08,,,,
Dolls' Frontline,53,ドールズフロントライン,"""Dolls Frontline""",Girls’ Frontline,#ドールズフロントライン,Winter 2022,174,12787,"Action, Drama","Guns, 95%, War, 91%, Primarily Female Cast, 90%, Artificial Intelligence, 90%, Military, 88%, Robots, 87%, Female Protagonist, 86%, Post-Apocalyptic, 72%, Foreign, 20%, Show 5 spoiler tags","['Planning', '5682', 'Users', 'Completed', '3009', 'Users', 'Dropped', '2113', 'Users', 'Current', '1492', 'Users']",False,False,1.42,1.89,0.7,3894.89,9222,0.72,2.05,,,0.81,,,,,0.59,,,,,,,0.11,,,,0.32,,,,,,,0.11,,,,,0.1,0.1,,,,,,,0.08,
Hakozume: Kouban Joshi no Gyakushuu,68,ハコヅメ～交番女子の逆襲～,Hakozume: Kouban Joshi no Gyakushuu,Police in a Pod,#ハコヅメ,Winter 2022,151,12425,"Comedy, Drama, Slice of Life","Police, 95%, Primarily Adult Cast, 90%, Work, 85%, Female Protagonist, 77%, Crime, 74%, Seinen, 71%, Urban, 66%, Episodic, 64%, Detective, 52%, Cars, 50%, Educational, 40%, Drawing, 20%, Yakuza, 20%, Judo, 16%, Animals, 10%, Trains, 10%, Motorcycles, 10%, Delinquents, 10%, Mopeds, 10%, Show 2 spoiler tags","['Completed', '5136', 'Users', 'Planning', '4129', 'Users', 'Current', '1380', 'Users', 'Dropped', '1303', 'Users']",False,False,3.94,0.8,0.25,5595.36,10268,0.83,1.58,,,,0.02,1.13,,,1.13,0.12,,,,,,,,,,,0.6,,1.52,,0.04,0.05,,,,,,0.17,0.17,,,,,0.16,,,
Kaijin Kaihatsubu no Kuroitsu-san,64,怪人開発部の黒井津さん,Kaijin Kaihatsubu no Kuroitsu-san,Miss KUROITSU from the Monster Development Department,#黒井津さん,Winter 2022,151,11921,"Comedy, Fantasy","Work, 97%, Tokusatsu, 85%, Female Protagonist, 79%, Monster Girl, 73%, Kemonomimi, 73%, Urban, 70%, Slapstick, 60%, Superhero, 60%, Henshin, 53%, Crossover, 52%, Nudity, 50%, Gender Bending, 46%, Demons, 40%, Episodic, 40%, Cute Girls Doing Cute Things, 33%, Shounen, 20%, Show 2 spoiler tags","['Planning', '4412', 'Users', 'Completed', '3878', 'Users', 'Current', '1639', 'Users', 'Dropped', '1505', 'Users']",False,False,2.58,1.14,0.39,5052.61,9664,0.81,1.75,,0.15,,,1.26,0.1,,,,,1.69,,,,,,0.16,,,0.14,,0.2,,,,0.07,,,,,0.16,0.16,,,0.04,,,,,
TRIBE NINE,56,トライブナイン,TRIBE NINE,Tribe Nine,#トライブナイン,Winter 2022,106,11090,"Action, Sci-Fi, Sports","Baseball, 92%, Cyberpunk, 86%, Primarily Teen Cast, 84%, Male Protagonist, 80%, Primarily Male Cast, 76%, Ensemble Cast, 65%, Delinquents, 60%, Gore, 53%, Twins, 40%, Tragedy, 40%","['Planning', '4913', 'Users', 'Completed', '2864', 'Users', 'Dropped', '1622', 'Users', 'Current', '1252', 'Users']",False,False,1.77,1.72,0.57,5858.87,5936,0.54,1.44,0.05,,0.62,,,,,,,,,,,,0.69,,,,,0.06,,,,0.7,,,,,,,0.15,,0.08,0.07,,,,,,
Futsal Boys!!!!!,49,フットサルボーイズ!!!!!,Futsal Boys!!!!!,Futsal Boys!!!!!,#サルボ,Winter 2022,78,7685,Sports,"Football, 88%, School Club, 80%, Primarily Male Cast, 73%, Super Power, 60%, Cute Boys Doing Cute Things, 54%, Delinquents, 30%, ""Boys Love"", 20%","['Planning', '2941', 'Users', 'Completed', '2054', 'Users', 'Dropped', '1550', 'Users', 'Current', '864', 'Users']",False,False,1.33,1.43,0.75,4827.76,3822,0.5,1.31,,,0.04,,,,,,,0.01,,,,,,,0.04,,,0.02,,,,0.41,,0.03,,,,0.05,,,,,,,,,,
CUE!,63,CUE!,CUE!,CUE!,#キュー,Winter 2022,109,6544,Music,"Acting, 100%, Primarily Female Cast, 88%, Work, 88%, Cute Girls Doing Cute Things, 76%, Female Protagonist, 76%, Ensemble Cast, 73%, Idol, 72%, Primarily Teen Cast, 40%, Chuunibyou, 20%, Video Games, 10%, Show 1 spoiler tags","['Planning', '2593', 'Users', 'Completed', '1684', 'Users', 'Current', '947', 'Users', 'Dropped', '941', 'Users']",False,False,1.79,1.54,0.56,3782.31,6867,1.05,2.61,,0.05,,,,,,,,,,,,,,,,,,,,0.22,,,0.26,0.42,1.28,0.18,,,0.38,0.19,,0.19,,,,,,
Gensou Sangokushi: Tengen Reishinki,45,幻想三國誌 -天元霊心記,Gensou Sangokushi: Tengen Reishinki,Fantasia Sango - Realm of Legends,nan,Winter 2022,57,4689,Fantasy,"Demons, 79%, Episodic, 60%, Monster Girl, 60%, Female Harem, 50%, Show 1 spoiler tags","['Planning', '2009', 'Users', 'Dropped', '1059', 'Users', 'Completed', '816', 'Users', 'Current', '655', 'Users']",False,False,0.77,2.46,1.3,3701.84,2565,0.55,1.74,,,,,,,0.02,,,,0.32,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,
Shenmue the Animation,63,Shenmue the Animation,Shenmue the Animation,Shenmue the Animation,#シェンムー #Shenmue #ShemueTheAnimation,Winter 2022,70,4513,"Action, Adventure, Drama","Martial Arts, 88%, Revenge, 86%, Gangs, 80%, Yakuza, 75%, Male Protagonist, 72%, Foreign, 40%, Language Barrier, 40%, Historical, 30%","['Planning', '1938', 'Users', 'Completed', '1438', 'Users', 'Current', '581', 'Users', 'Dropped', '364', 'Users']",False,False,3.95,1.35,0.25,4061.7,4410,0.98,2.18,,,1.19,1.19,,,,1.6,,,,,,,,,,0.07,,0.37,,,,,,,,,,,0.17,,0.17,,,,,,,
Delicious Party♡Precure,67,デリシャスパーティ♡プリキュア,Delicious Party♡Precure,Delicious Party Pretty Cure,#プリキュア #デリシャスパーティプリキュア #デパプリ #precure,Winter 2022,72,3107,"Action, Fantasy, Mahou Shoujo","Food, 95%, Henshin, 94%, Primarily Teen Cast, 88%, Primarily Female Cast, 83%, Female Protagonist, 80%, Magic, 79%, Cute Girls Doing Cute Things, 79%, Episodic, 79%, Kids, 70%, Football, 60%, Urban Fantasy, 60%, Superhero, 46%, Robots, 46%, Primarily Child Cast, 36%, Philosophy, 35%, Isekai, 32%, Baseball, 10%, Show 1 spoiler tags","['Current', '1588', 'Users', 'Planning', '982', 'Users', 'Paused', '261', 'Users', 'Dropped', '225', 'Users']",False,False,0.0,0.0,0.0,2891.24,4824,1.55,0.0,,,2.09,,,,,,,,4.03,2.09,0.33,,,,0.19,,,0.15,0.13,,,0.29,,0.68,,,0.15,,0.33,0.33,,,,,,,,
SPY×FAMILY,86,SPY×FAMILY,SPY×FAMILY,SPY x FAMILY,#SPY_FAMILY #スパイファミリー,Spring 2022,19645,271804,"Action, Comedy, Slice of Life, Supernatural","Family Life, 95%, Espionage, 95%, Found Family, 86%, Assassins, 81%, Adoption, 80%, Conspiracy, 80%, Male Protagonist, 79%, Slapstick, 79%, Female Protagonist, 78%, Crime, 78%, Foreign, 76%, School, 75%, Super Power, 75%, Urban, 75%, Ensemble Cast, 72%, Heterosexual, 71%, Surreal Comedy, 68%, Parody, 62%, Guns, 55%, Episodic, 54%, Bullying, 51%, Orphan, 51%, Martial Arts, 48%, Urban Fantasy, 48%, Tsundere, 47%, Primarily Adult Cast, 47%, Crossdressing, 20%, Shounen, 20%","['Completed', '168790', 'Users', 'Current', '53128', 'Users', 'Planning', '41667', 'Users', 'Paused', '5108', 'Users']",False,True,0.0,0.25,0.0,1189.88,1689470,6.22,7.61,,1.04,15.22,,18.97,,,2.19,,1.57,1.06,,,,,,14.41,,2.1,3.39,,19.11,1.66,,,,,,,,4.28,1.73,1.75,1.6,0.44,,,,,
Kaguya-sama wa Kokurasetai: Ultra Romantic,90,かぐや様は告らせたい-ウルトラロマンティック-,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,#かぐや様,Spring 2022,10267,150028,"Comedy, Psychological, Romance, Slice of Life","School, 95%, Heterosexual, 92%, School Club, 91%, Slapstick, 90%, Ensemble Cast, 85%, Coming of Age, 85%, Primarily Teen Cast, 85%, Tsundere, 81%, Female Protagonist, 80%, Male Protagonist, 79%, Meta, 78%, Ojou-sama, 70%, Episodic, 68%, Parody, 66%, Satire, 60%, Detective, 43%, CGI, 20%, Seinen, 20%, Show 3 spoiler tags","['Completed', '82932', 'Users', 'Planning', '43645', 'Users', 'Current', '19713', 'Users', 'Paused', '2671', 'Users']",True,True,0.0,0.53,0.0,1315.14,924030,6.16,9.0,,1.85,,,19.89,,,1.94,0.98,15.6,,,,,,,,,,,,11.41,2.17,,,,,,11.41,2.08,5.57,1.82,1.8,1.94,,,0.46,,,
